IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
REHINA,KOBIETA,489
MICHAL,KOBIETA,487
AURELA,KOBIETA,484
FRYDA,KOBIETA,484
ECATERINA,KOBIETA,483
LUCY,KOBIETA,483
ISABEL,KOBIETA,482
ELIANA,KOBIETA,481
VALERIYA,KOBIETA,480
AMY,KOBIETA,480
IZYDORA,KOBIETA,478
FRANCESCA,KOBIETA,474
HIACYNTA,KOBIETA,471
STEPHANIE,KOBIETA,471
NANA,KOBIETA,465
SATURNINA,KOBIETA,464
JOLENTA,KOBIETA,464
YASMIN,KOBIETA,460
LUISA,KOBIETA,459
KORDULA,KOBIETA,459
DAIANA,KOBIETA,459
MARYANA,KOBIETA,456
ZLATOSLAVA,KOBIETA,455
LIDIYA,KOBIETA,455
LEYLA,KOBIETA,454
ALOJZJA,KOBIETA,452
OLIVIIA,KOBIETA,451
RACHEL,KOBIETA,450
DEBORA,KOBIETA,449
FLORIANNA,KOBIETA,449
INESSA,KOBIETA,447
VASILISA,KOBIETA,446
EMILIYA,KOBIETA,445
JOHANNA,KOBIETA,443
SOLOMIYA,KOBIETA,442
LADA,KOBIETA,442
IEVGENIIA,KOBIETA,440
MADINA,KOBIETA,439
ANIDA,KOBIETA,439
ZARINA,KOBIETA,438
JELENA,KOBIETA,437
PAOLA,KOBIETA,434
AISHA,KOBIETA,432
JULIE,KOBIETA,431
ANNE,KOBIETA,430
AMELIE,KOBIETA,428
LUDGARDA,KOBIETA,427
ISMENA,KOBIETA,424
NATIA,KOBIETA,422
ROSA,KOBIETA,422
LIUBOU,KOBIETA,422
ANNA-MARIIA,KOBIETA,421
KSYMENA,KOBIETA,416
ANDŻELINA,KOBIETA,414
ROSE,KOBIETA,414
LYUDMILA,KOBIETA,413
SHARON,KOBIETA,413
KAMILIA,KOBIETA,409
JESICA,KOBIETA,409
GRACJA,KOBIETA,408
ZEFIRYNA,KOBIETA,407
GRACE,KOBIETA,407
BETINA,KOBIETA,406
KAROLA,KOBIETA,405
LAURENCJA,KOBIETA,402
HELEN,KOBIETA,402
KONSTANTYNA,KOBIETA,401
CARLA,KOBIETA,400
NADINE,KOBIETA,400
LOLITA,KOBIETA,400
IULIA,KOBIETA,399
EUZEBIA,KOBIETA,399
KLAVDIIA,KOBIETA,397
SYLWINA,KOBIETA,395
FELICYTA,KOBIETA,394
RUT,KOBIETA,393
ZBIGNIEWA,KOBIETA,392
MALIKA,KOBIETA,391
EMILIE,KOBIETA,389
CAMILA,KOBIETA,389
LARISSA,KOBIETA,388
KLOTYLDA,KOBIETA,387
MIKA,KOBIETA,386
LILLI,KOBIETA,386
IWETTA,KOBIETA,386
AMELIIA,KOBIETA,385
AŁŁA,KOBIETA,385
LUDOMIŁA,KOBIETA,383
ADI,KOBIETA,382
LANA,KOBIETA,381
NADEZHDA,KOBIETA,380
RACHELA,KOBIETA,380
ASTRID,KOBIETA,380
VIVIENNE,KOBIETA,380
LORENA,KOBIETA,376
ESTHER,KOBIETA,376
LYDIA,KOBIETA,375
ŻANNA,KOBIETA,373
LUBOV,KOBIETA,370
IWETA,KOBIETA,370
YESENIIA,KOBIETA,369
SOFYA,KOBIETA,367
YEVDOKIIA,KOBIETA,366
MARYAM,KOBIETA,363
TEONA,KOBIETA,361
LEONIDA,KOBIETA,360
YULIANNA,KOBIETA,360
NICOLETTA,KOBIETA,359
MEGAN,KOBIETA,358
ZEYNEP,KOBIETA,354
THỊ,KOBIETA,354
URSULA,KOBIETA,354
LEAH,KOBIETA,354
NILA,KOBIETA,353
FATMA,KOBIETA,352
LIUBOMYRA,KOBIETA,350
MALVINA,KOBIETA,348
ELENI,KOBIETA,348
FRIEDA,KOBIETA,347
ZYGFRYDA,KOBIETA,347
CORNELIA,KOBIETA,346
HILARIA,KOBIETA,346
OLESYA,KOBIETA,345
TADEUSZA,KOBIETA,344
CAMILLA,KOBIETA,343
KESJA,KOBIETA,343
REBECCA,KOBIETA,341
HILDEGARD,KOBIETA,341
FLORA,KOBIETA,340
KATARINA,KOBIETA,336
NADEJDA,KOBIETA,336
KATIA,KOBIETA,335
ALESSIA,KOBIETA,333
LIIA,KOBIETA,333
MIRONA,KOBIETA,332
DORIS,KOBIETA,331
ZOSIA,KOBIETA,330
ANDRZELIKA,KOBIETA,329
BELLA,KOBIETA,328
PETRA,KOBIETA,327
NADIEŻDA,KOBIETA,326
KARINE,KOBIETA,326
STEPANIIA,KOBIETA,325
ALESSANDRA,KOBIETA,324
